5932975;295021;568399;3992788;18378;710742;1534017;2652143;305727
5413;4812;9524;9446;29;609;21578;9003;2880
461000;100825;37873;581400;1219;68482;295219;368652;38057
342477;52241;33092;423475;645;53201;184199;202761;17007
272791;33366;7706;290250;612;44940;157741;179089;16402
224851;22421;25808;308866;446;30375;123075;112973;12395
101414;46426;8442;219427;512;12088;89422;42507;16228
96611;31468;7872;173983;254;9611;64787;41131;7765
85350;22082;7799;144639;210;10143;55852;45818;6905
210094;50966;26764;395333;301;28627;152384;111896;18237
