131783;294812;335603;14094;74133;11985;115692;42064;97118;27377;486369;57340;229656;359643;5670;68;312705;298165;89477;108727;51640;27378;26439;148166;324655;38357;134376;95663;158856;255493;328380;94488;54851;810592;206745;83956;151703;57713;154653;133119;4445;156964;52844;218114;78647;14869;248534;12082;278607;1441711;216217;661146;450009;236814;73471;22726;100185;304987;35914;625321;202052;109999;217951;63414;58397;235654;154886;51968;529;23257;288014;582;166962;123937;578965;101611;116585;50014;29859;80611;222460;53029;143727;227083;73127;169639;16485;222146;36974;115836;73948;14731;322447
1950;4812;2201;130;233;130;1061;12;311;36;100;30;1800;140;16;0;397;919;47;44;1243;426;53;591;590;8;336;4132;423;2607;1014;70;95;202;80;550;860;46;223;329;6;77;114;806;1176;237;934;40;2015;84;149;119;171;30;139;60;25;796;548;170;690;489;845;274;412;1054;197;66;0;26;2263;1;1944;115;215;2490;1928;1283;35;92;2911;3781;360;392;291;119;19;508;1506;2465;233;251;96
21958;100804;69252;1503;7591;1435;23680;4002;13378;1975;36424;7424;49574;17727;466;2;44107;65688;8253;11097;6991;4191;3019;29970;63965;999;19264;20161;22977;50494;42735;4955;5824;59245;14899;15119;27531;2598;20236;8816;314;12567;4795;48568;11532;541;57882;555;51851;51902;19518;39684;34465;10905;5277;2334;7042;62284;5187;37835;35622;22406;40362;9934;9124;48910;17527;4845;38;1405;40697;52;37402;8066;44636;16682;21700;7440;1522;14651;16025;1765;8781;33586;10961;15299;1103;44778;5847;23851;10373;524;21446
17432;52236;63368;458;4902;360;11784;4061;8040;1366;27702;5916;28366;8471;267;1;24685;55924;6588;8626;2802;1428;1425;26703;47707;250;11921;13147;22598;24422;29267;1776;3217;35605;13246;6901;12872;2514;10927;10140;168;10610;2361;26335;5009;12;42982;0;31510;49781;15972;39098;23284;5920;4362;1051;6767;40805;1839;25952;22673;11074;31874;5486;4086;21309;13218;3666;14;534;28462;21;23639;5427;32017;9220;16633;3526;884;16715;3710;161;6065;26561;7089;9929;404;22858;2379;13011;6000;17;17197
13033;33366;46866;599;4008;482;10010;2626;7190;1045;23384;5317;25608;6570;184;2;22572;36579;5187;7217;2548;1477;1351;19620;26807;635;11991;10763;16449;21431;19222;2144;2997;32074;10536;5902;11534;689;6830;1221;145;8020;2248;27214;4283;146;27517;133;19637;42267;13790;29254;18059;4780;2654;942;5223;26443;1919;21085;13277;9551;20618;5024;3613;16749;12826;2845;31;795;24549;14;20867;4872;24594;9126;13028;3115;887;1975;2931;508;3851;25921;6828;8513;583;18393;2242;11539;5901;138;13368
11460;22415;36627;433;1993;314;7965;1780;5314;617;20375;2851;21417;17307;135;8;12135;31339;2869;5444;1845;847;980;15176;31670;1002;7061;8376;14415;17409;13317;4295;2660;29524;9096;4398;8420;722;10424;13988;103;7915;2472;14375;3079;412;23092;409;15673;48945;8798;21884;27130;7020;1674;775;3935;22824;1235;35577;19540;6794;22485;3171;2792;11833;7372;2030;42;765;4903;33;15757;3584;14816;7393;10750;2028;582;1331;6653;3389;2788;12779;4067;6213;490;13770;1472;9723;3948;418;11749
9055;46426;24229;401;1518;382;10169;323;5150;575;7024;830;10124;12838;172;3;2540;23730;1177;2217;1835;1442;730;7384;21838;932;3797;5641;5452;6729;17829;5745;2490;5106;2607;5145;3772;1166;7579;1096;162;2928;4513;5942;2483;215;22719;182;13201;10842;3477;2993;14443;1298;1297;561;822;27783;1948;17047;13935;5822;14226;2479;4745;4220;3760;891;24;963;2640;24;11810;1759;3174;6104;7603;4229;499;1710;2857;696;1008;5951;2053;2015;638;13653;2689;5394;2443;214;4184
4614;31464;22709;205;1561;180;6627;255;3118;543;9116;556;11130;8748;88;0;2319;21065;938;1907;925;632;421;7178;17244;549;3289;5050;6367;7308;12445;3469;1720;5859;2721;3381;3556;485;4876;944;68;2789;2231;6565;1566;20;17643;4;12478;18081;2938;3490;12142;1540;1237;397;971;17467;867;15636;8507;4632;10888;1365;2198;4441;3134;652;8;575;2136;5;10933;1290;2720;2915;4228;1274;315;1365;4312;323;825;6552;1311;1613;330;10336;916;3739;1585;20;4347
3814;22080;16027;166;1606;141;5341;287;2996;243;7551;657;8714;5917;74;0;3441;17083;859;2116;1053;493;445;6331;18024;300;3204;4651;6009;8052;8817;1766;1404;6260;2768;2841;3961;365;4763;1481;58;2747;1520;6740;1764;63;13095;28;9688;18799;2956;3066;9546;2111;1067;405;868;12015;724;12120;9122;4189;10786;1696;1914;5719;2861;648;10;433;2385;9;8310;1243;3952;2701;3904;1372;259;116;4576;891;455;6372;1705;1612;312;8537;913;4147;1646;58;4464
11932;50966;43644;395;3021;388;14485;1118;8022;430;16264;2292;21540;19260;124;0;11221;45244;2991;5813;2842;1409;1177;16277;47452;539;8431;12964;16027;21533;21182;3940;4072;16877;7302;7209;9829;669;13928;12360;78;7274;3776;14362;4711;62;37220;22;29155;41250;8409;10209;24392;4401;1832;1158;2846;32171;1896;31246;27470;9993;29573;4156;4952;14977;7234;1773;1;846;6371;12;22317;2635;9999;8072;11285;3602;588;420;12307;589;1609;14305;3986;4260;634;20770;2464;11672;4223;51;9817
