199150;294806;50814;31818;94986;366804;7437;249414;195732;275906;92787;34097;68722;181117;34626;70347;94311;239563;689964;307500;55748;150711;172728;90063;181429;150909;39317;91566;165985;33624;17923;28;193;281388;336586;62415;98722;216397;4455;6123;299287;32802;41888;15364;1457;230;92152;80225;47841;20389;29;327608;28993;149355;104427;47044;268463;123088;30831;83988;160180;60274;616824;8266;47288;16794;244865;73685;73661;9403;453508;234567;216447;48362;124825;126935;146945;144735;150585;101247;9086;68953;288862;194106;99059;617443;568585;1417795;19388;166314;63242;150964;132094;19907;27495;23108;121746;63026;124732;60804;145412;216388;298500;978;23680;140802;12096;97155;43719;139673;22742;41268
1853;4812;109;2022;34;89;21;133;1065;575;21;535;45;78;529;427;1835;188;171;705;4385;1871;2753;1575;101;158;51;1286;48;38;52;0;0;2229;78;62;744;275;7;7;908;5;259;15;1;1;324;1688;31;22;0;1771;832;1458;50;279;1529;339;829;210;499;296;102;49;45;25;101;208;240;87;88;33;1287;62;866;111;208;138;330;1730;84;52;270;710;288;193;200;83;367;325;228;844;2075;52;1612;677;271;361;1201;54;1153;758;859;0;24;371;107;412;707;528;392;13
41919;100803;6194;1085;10070;23462;608;24282;40757;49920;6514;4598;7684;13295;4667;11224;16720;29135;51031;59950;8962;20092;38152;15767;14691;16830;3731;14346;10748;4342;1794;0;10;38673;21652;3597;20718;27126;303;301;36639;777;6532;942;123;17;15616;18318;6048;1267;1;66572;4522;4515;8315;7121;46967;7353;5342;5460;32285;9733;36728;361;2988;1140;12174;10206;10154;1107;32728;10864;44309;4126;22530;8719;19201;14587;20119;22403;374;3303;34619;44877;19504;40248;40261;47746;2866;33963;9238;28629;20654;2135;978;811;16607;8513;33146;3696;25323;50169;72366;77;1238;19732;1309;16641;6332;35432;3373;3905
29154;52236;3502;151;8115;16714;344;16827;19440;29404;6286;2365;6067;10895;1788;5178;9332;13646;30418;39203;3767;4835;20176;8625;9152;10698;2619;6041;10097;2579;743;0;3;26610;15915;2591;16278;23642;161;0;26180;179;2744;335;74;13;7690;11916;5002;488;1;63047;1931;4115;7528;3122;27869;5252;2412;4142;29026;5291;34974;1;1449;707;5112;5995;5914;269;24907;5891;24797;3371;11101;5749;14618;9049;23037;15025;5;1118;19928;18642;10140;28684;29117;47153;922;22406;5904;22321;16898;906;137;10;10965;4398;19450;3840;20730;40785;59543;32;708;19828;389;7939;2506;22694;1113;3967
23377;33366;3193;290;6564;12990;245;12950;18485;16710;4834;2055;5025;9727;1818;4368;9354;9237;28361;25717;3086;4175;17485;8701;6153;7755;2092;4816;8133;2292;667;1;8;22983;13630;2099;13469;21797;137;50;17161;507;2489;520;50;7;7021;9745;4502;685;1;45545;1888;782;5923;2652;15373;3252;2248;3292;19721;4864;26494;81;1566;627;4206;6162;4969;368;20866;4844;22779;1847;9516;5212;13359;7992;2722;12848;104;1609;17659;14311;5579;22072;21257;39493;1017;23137;5741;14840;12329;889;281;251;11120;4696;16848;842;14468;25671;36721;49;728;14556;532;7100;2360;20005;1193;2558
17452;22415;2557;1667;4910;19170;178;13014;13487;28002;3592;1443;2431;6356;1111;3535;8022;9770;25524;22636;2648;5554;14277;7165;10266;9034;1474;3681;6810;1551;573;4;21;4705;10786;1313;9563;10816;105;245;11696;806;1852;443;30;24;4715;8089;2440;630;2;36238;1174;12414;4805;2255;13608;2263;1288;2957;15924;3216;21011;174;2254;365;11802;4093;4052;250;18801;6979;17294;1062;7329;3839;7523;5732;5054;10189;193;3008;9342;9389;6924;39018;13912;49063;666;9560;3399;14778;10801;659;1356;1163;6518;2473;12812;999;13897;22140;33165;34;468;12851;369;4941;1657;10703;674;1743
10899;46426;2003;470;1868;8125;195;6764;4280;15515;754;3474;1040;2051;1213;6613;5536;10172;4509;26157;1991;1825;6127;5195;5134;5595;615;2327;1522;886;451;1;17;2605;2940;740;6245;4293;153;103;15546;740;3311;561;48;7;3655;5402;647;821;0;27254;2770;1784;1641;3533;12697;898;2436;1426;7960;2526;2538;139;3100;345;10067;2426;4806;255;6154;1381;8483;978;3402;1921;4300;1982;2303;6971;142;3797;1940;3307;7905;19677;2616;11474;1185;3243;1698;10059;9363;540;382;284;3441;1978;9416;1247;9303;18826;29297;37;430;4594;332;3693;1578;9227;1119;293
10609;31464;1446;235;1657;7895;84;5856;5164;10855;873;1089;813;1613;628;3285;3141;7216;5233;16846;1366;2448;6228;2804;4119;4037;464;1818;1750;562;312;0;3;2144;3306;773;6072;4778;63;0;10749;432;1544;308;33;0;2964;4184;415;451;0;25635;850;2419;1579;1938;11541;730;718;1542;8130;1419;3053;11;1819;362;6895;1715;2555;127;8205;1617;9307;685;3097;1302;3480;1575;1922;6198;5;2419;1661;3491;4789;16426;2305;18968;475;3491;984;6901;4862;300;152;48;2908;1790;9129;529;5899;15379;22489;16;251;5403;176;3085;805;7036;501;254
7196;22080;1262;498;1893;6788;90;4721;5181;13180;792;1037;861;1734;591;2467;2824;5941;5608;11566;1704;2835;6643;2731;3730;4139;501;2227;1743;671;307;0;2;2332;3657;687;4528;4581;49;6;7248;220;1350;263;28;2;2825;3760;476;386;0;19130;791;3130;1562;1575;9680;346;815;1683;7371;1723;2638;15;1032;146;4202;1717;2362;113;6930;2130;7770;452;3441;1184;3026;1577;733;5214;24;1278;2618;4553;4460;12758;3321;19127;365;4269;1349;6877;3709;319;316;246;2944;1962;6931;390;5453;12594;18281;23;202;5095;132;2819;880;6446;358;270
20632;50965;3675;619;5013;16572;161;11394;12711;39089;2538;2728;2925;5520;1732;7730;8076;15684;15213;31440;4681;6546;19496;7618;11740;10646;1374;5584;4946;1902;880;0;0;6140;7663;1352;11353;11052;74;0;17379;375;3427;530;36;3;6615;10721;1840;733;0;49021;2167;12979;4022;3903;29813;1249;2351;3406;19403;4232;9260;10;2512;266;12664;4246;6601;294;14375;4555;17534;851;8866;2788;7915;4149;6357;14093;31;2552;8745;12390;12871;35540;8274;41905;1011;9315;3327;18916;11692;802;435;100;7841;3450;16949;926;16002;33144;48265;15;482;13811;334;6947;2488;14866;1081;1090
