88650;294777;62066;49747;108190;33629;13484;189379;50193;5148;34885;152;92697;175129;89263;94625;1352;37411;33678;147160;17167;30633;67801;151373;43815;43911;69055;20667;33247;339;14811;20724;53631;104800;42813;82596;31846;282218;592;33585;31345;92201;30959;53861;122091;1306;65913;19499;92771;82120;1110843;134798;42123;20126;1877;126269;30774;12870;49071;34049;179008;53435;39599;133153;324208;34118;6101;54447;43864;55924;29171;4013;75654;27;11136;230766;15435;52481;107790;2006;59978;18459;275423;72695;98117;17699;17420;92251;21720;86796;15031;71301;72422;12337;19884;89;24661;62755;4165;4572;162519;75105;81657;414820;272570;56027;4372;99420;74241;23754;120106;8348;162669;91274;6466;36683;15147;33656;17350;42240;96770;12372;58187;12384;56117;15291;91010;32948;126539;87251;245498;77936;30304;119535;14383;83455;79390;49629;26090;36156;16753;151481;31285;3875;22299;50217;210771;60288;14197;99380;111637;62353;40537;192032;118269;18284;7346;37237;57723;530648;77263;158441;106036;47888;87743;94400;20;15015;31039;100280;67336;37101;231045;82439;68879;5058;24069;22486;31267;146891;101502;78413;35194;15847;14092;66343;48293;40327;325349;60783;11159;40122;253930;118312;96200;266803;56451;451551;71825;34501
210;4812;20;502;418;300;33;445;175;7;29;1;555;33;413;55;23;130;831;50;69;2817;778;1058;17;59;464;39;24;0;5;411;47;9;493;224;1240;103;0;24;110;48;376;100;859;1;20;80;288;325;53;424;1405;129;20;18;10;6;289;57;6;157;97;202;61;11;11;90;129;10;336;29;20;0;17;135;21;651;148;5;136;166;42;51;293;2033;17;168;74;29;490;249;599;393;10;0;51;350;5;14;225;534;1594;140;48;1839;6;348;943;16;1192;168;44;981;18;524;1;1169;145;207;18;21;94;21;712;219;39;38;252;33;976;128;26;848;13;101;652;216;25;76;106;54;994;39;26;1245;64;201;81;368;449;122;1273;533;864;65;6;511;353;69;609;101;849;31;246;235;0;536;190;278;331;190;84;1473;115;8;170;17;147;79;298;968;34;336;385;193;1332;11;76;135;214;430;32;39;248;1068;535;68;140;143
17883;100797;4902;26860;20264;4704;1430;41093;8843;268;1888;12;14875;10333;16652;6019;256;2337;5230;6725;2504;964;15749;26858;1834;4971;12847;2600;2451;31;1374;2472;3498;5173;6893;13669;7031;19846;56;3148;4919;6932;4777;7777;23571;90;4562;2692;18850;14121;39450;17978;1620;2427;359;7105;3833;461;9797;4706;8429;7747;5321;27145;22221;3203;448;6653;2785;5433;4877;168;4652;1;989;23844;2117;12461;11723;154;8613;3176;14977;7815;18366;2090;901;14313;3078;5985;413;12787;16103;1902;2225;2;2444;9075;320;383;34385;17758;17083;27935;11546;9206;297;19777;16597;2750;24154;1201;14941;14533;506;5908;274;7905;2836;7013;5552;1041;9349;845;13958;610;6206;4365;26786;4124;48871;10255;2044;21053;683;12606;19650;8227;2054;5037;2377;10865;5232;164;2040;10157;17552;10719;2005;2546;23312;8911;1968;29198;26837;2992;476;5745;14075;20759;16774;15345;21136;14070;14980;16633;1;434;4858;21596;22559;5483;19450;17444;8339;244;3955;1215;3180;14888;24063;17314;1486;1964;2242;11645;8103;1348;23108;7520;1605;6302;11727;9139;16641;20733;11913;26541;6763;5429
13845;52234;4320;15540;19131;2564;560;28440;4162;0;1344;12;1038;7206;15590;4101;58;2128;2446;3103;1404;117;11383;19240;1938;5841;5640;2396;1401;12;1567;876;2265;1732;3453;6559;4580;11875;12;2335;2652;4621;2003;3813;11228;38;4408;1388;16037;13371;38000;15140;812;1393;94;8136;3166;153;8379;3256;6561;4977;2989;21098;18032;3081;107;3612;1903;4636;2652;2;4139;0;385;17306;1297;6576;3764;93;4196;1669;10014;6467;14567;575;496;11602;1480;4979;18;9987;8471;722;1822;0;1009;8583;79;73;25847;14238;8807;19917;7002;5544;162;13334;10195;2331;18182;388;4264;13215;283;3937;44;5159;1082;3978;5418;474;9040;521;7754;1;4497;2737;11672;1305;46583;6266;916;13809;260;7489;7416;3594;1294;3588;1176;9712;2428;5;1437;7425;11477;5683;796;2821;21208;6005;977;15622;13713;1634;155;4068;9582;14887;12355;16425;14890;16140;8523;8280;1;37;2104;15495;14609;2925;12127;9016;5311;0;1504;873;2487;10950;14419;12160;1104;626;913;5274;5866;382;13037;4414;469;2648;9376;7236;14320;11415;6366;22970;5404;2738
8995;33365;3351;9129;12518;2585;602;19772;3530;42;1234;3;812;5580;10469;3820;109;989;2391;2596;1160;287;9371;13140;357;4278;4728;836;1415;18;812;878;2111;1677;3410;4039;3788;10866;16;2222;2554;3763;1778;2444;9729;52;3383;1213;9874;8941;32654;8297;554;1089;96;938;2582;340;6007;3226;5388;5215;2451;13382;14426;2266;186;2071;1681;3830;2250;59;3243;1;346;13611;1123;6085;2042;72;4318;1489;9445;5997;13331;669;517;6885;1367;4615;116;7759;8080;716;1573;1;1132;6607;106;133;13348;10422;7146;14051;6077;5348;140;13511;9142;2046;16227;401;3769;9610;199;2964;206;4025;1008;3924;4538;516;6291;472;7346;181;3492;2577;9203;1477;32869;5873;1031;10974;466;5409;6317;2441;1040;3454;1016;8479;2226;45;1071;5891;8666;5052;763;473;14526;5501;663;9925;13414;1529;269;3002;7848;15031;10514;12575;10764;1909;8468;4781;0;139;1982;9214;8704;2586;9878;7565;5404;41;1402;774;1157;9685;15233;9880;865;657;920;5206;4226;684;12114;4426;568;2209;8020;5598;7497;10570;5941;18035;3760;2626
7748;22415;1873;5771;11796;1792;451;19526;2325;172;851;15;3640;9788;9211;2855;37;635;1602;6684;670;2014;7389;10377;219;3357;3429;365;1538;33;575;549;1354;3667;2215;8412;3091;8978;19;1393;1768;5077;1289;2923;7902;30;2460;881;5621;8544;33227;5038;1116;877;54;9840;1639;357;5224;1528;5382;3258;2116;13345;14374;1510;172;2990;947;2481;1482;38;3237;5;350;12970;733;4765;2323;43;2483;656;12631;3747;5887;400;324;8079;1123;3111;692;6278;7434;406;902;7;1197;6190;113;95;17566;9367;5967;9890;14495;4801;100;7465;7172;1027;1568;263;4292;7628;151;2813;321;3356;699;2829;3828;431;5160;266;5711;703;2945;1631;4745;4126;27089;3258;1475;9106;467;4835;3219;2573;1497;1738;807;5153;1572;42;833;4660;9925;3048;550;6550;11338;3847;958;10759;10157;933;211;2778;4664;27977;7123;6237;4903;138;5286;9776;3;657;1343;10515;6999;1956;5572;6232;3235;163;930;554;882;5546;7549;7421;431;357;435;3254;3623;1446;11508;2748;376;1474;9735;4643;4573;4952;4997;14939;5100;1762
6182;46425;634;10296;6854;2480;306;17493;2182;100;464;5;511;3959;5365;1041;40;264;2399;4582;544;391;4130;7082;1062;1036;1554;515;1009;12;101;653;860;191;1670;5932;2064;1788;24;621;1162;2282;1158;3235;2477;53;510;830;8415;4261;6009;7051;774;2319;82;979;409;407;2829;828;1029;1672;2465;9756;3030;241;120;3276;785;815;1266;50;916;1;224;6347;356;3951;4710;59;1359;648;4144;1567;4055;576;319;4267;1241;1150;211;2884;3461;1086;287;9;2434;1856;63;61;11413;4966;2739;1523;7869;2865;141;3042;5005;394;423;370;4050;7460;170;3363;239;2243;1415;1845;735;722;1808;278;4490;188;911;810;1394;4508;22267;1747;2262;4613;508;4429;1636;4416;936;704;1281;1651;1978;39;303;2952;6713;2396;952;1167;6964;2241;776;9016;3531;703;167;3282;3345;10099;5206;1737;3797;1418;4141;6297;0;222;1364;5693;8713;2886;1069;2819;1918;102;1628;361;522;1644;1880;4868;299;468;1091;1636;4034;1479;1803;998;625;1074;2239;1261;8511;3997;2780;1434;1222;1139
5110;31464;530;6275;6099;1211;188;12422;1804;0;412;0;867;3573;4572;688;22;291;819;3155;280;312;3582;7057;401;1310;1580;484;913;6;79;327;569;199;1223;2764;1511;1988;9;408;878;1893;617;2276;2950;22;613;516;3962;4202;11615;4932;1003;827;34;704;283;212;2056;602;1540;1331;1447;7650;4203;211;84;2062;938;731;522;3;964;0;164;5363;216;3447;2945;48;1038;335;5029;1285;3391;301;189;4051;668;883;34;3236;3090;337;236;0;1052;1983;44;39;8043;4583;2528;1438;6438;1413;58;3926;4977;259;568;151;4772;4867;60;1222;102;1539;639;1274;869;370;1984;268;3803;11;685;653;1475;3146;21142;1555;1196;5568;317;2734;1614;2051;657;461;652;1370;727;13;236;2980;5652;2216;482;1631;7069;1877;899;9093;4572;303;108;1122;2963;11983;4702;1989;3206;1146;3557;3231;0;33;914;4905;6032;1445;798;2684;1399;1;793;249;548;1527;2125;4027;426;225;337;1346;1551;1099;2103;996;243;775;3027;1332;4931;2629;2160;1890;1153;793
3819;22080;466;5106;5800;1054;193;7654;1652;3;320;2;922;3229;4227;634;9;130;830;2211;351;726;3001;4957;114;1408;1897;224;652;9;97;266;557;726;1631;3056;1554;2193;11;340;836;1966;645;1827;3404;24;544;502;2850;3611;12879;3103;1110;667;26;831;336;142;2151;631;1853;1483;1345;5877;4004;211;89;1778;979;852;732;10;1037;0;155;4852;253;2686;2682;40;1208;494;4370;1471;3136;398;150;4174;636;740;81;2689;2815;326;225;0;740;1966;64;34;8262;3402;3094;2036;4542;1362;46;3748;4085;272;713;105;3288;2982;69;1236;58;1503;547;1248;908;309;2193;102;2980;147;605;737;1893;1527;17677;1503;694;3506;269;2640;2101;1675;548;614;523;1476;774;7;252;2670;4262;1996;360;1869;5116;1681;1078;7845;4014;425;78;1074;2428;9643;3130;1723;3197;33;3248;3918;0;87;777;5649;4767;1273;1522;3098;1458;1;711;164;701;2162;2485;2857;520;177;301;1612;1334;505;2322;1094;177;868;3544;1278;2976;1669;2037;1528;1395;872
10571;50964;1887;11720;14928;2976;506;22150;3742;1;738;1;2402;8787;11392;1643;38;404;2325;7570;773;522;7926;16544;172;3304;4563;342;1878;0;382;801;1006;1049;2931;11160;4469;5998;13;1178;2246;4719;1871;4740;8851;25;1751;1499;7875;10149;29698;7101;2761;1870;68;8940;1340;290;5854;1753;3571;3666;3350;15386;8192;883;198;4518;1878;2618;1864;14;2489;0;449;10710;771;6543;9014;43;2902;1074;9792;4286;7567;718;366;11226;1720;2085;93;8085;7282;794;731;0;1673;5948;124;97;23164;10267;8721;5295;14021;4369;75;7577;10537;824;1682;299;6842;7967;140;3638;93;4511;1338;2911;2617;663;4862;192;7295;65;1717;1953;6358;3623;41731;3739;1604;8866;453;6406;5087;5581;1557;1734;1392;4786;2156;3;737;7203;9749;4479;940;8000;14588;4674;2497;23014;9915;1024;160;3426;5791;23308;8216;4947;8719;26;7437;13007;0;99;2140;15384;12403;3385;4773;9176;3217;2;1841;370;1621;4824;6310;8245;1027;600;910;3721;4400;899;5804;2497;525;2288;7777;3379;7880;5302;5369;6277;3651;2061
