num trees;pca;max depth;f1 macro avg
00010;0037;003;0.63;
00010;0037;005;0.75;
00010;0037;007;0.82;
00010;0037;009;0.88;
00010;0037;011;0.93;
00010;0041;003;0.61;
00010;0041;005;0.74;
00010;0041;007;0.83;
00010;0041;009;0.89;
00010;0041;011;0.93;
00010;0053;003;0.65;
00010;0053;005;0.75;
00010;0053;007;0.82;
00010;0053;009;0.88;
00010;0053;011;0.93;
00010;0154;003;0.59;
00010;0154;005;0.73;
00010;0154;007;0.81;
00010;0154;009;0.87;
00010;0154;011;0.93;
00020;0037;003;0.68;
00020;0037;005;0.78;
00020;0037;007;0.84;
00020;0037;009;0.89;
00020;0037;011;0.94;
00020;0041;003;0.70;
00020;0041;005;0.78;
00020;0041;007;0.85;
00020;0041;009;0.90;
00020;0041;011;0.94;
00020;0053;003;0.65;
00020;0053;005;0.77;
00020;0053;007;0.84;
00020;0053;009;0.90;
00020;0053;011;0.94;
00020;0154;003;0.65;
00020;0154;005;0.76;
00020;0154;007;0.84;
00020;0154;009;0.90;
00020;0154;011;0.94;
00030;0037;003;0.69;
00030;0037;005;0.78;
00030;0037;007;0.85;
00030;0037;009;0.90;
00030;0037;011;0.94;
00030;0041;003;0.69;
00030;0041;005;0.79;
00030;0041;007;0.85;
00030;0041;009;0.90;
00030;0041;011;0.95;
00030;0053;003;0.69;
00030;0053;005;0.79;
00030;0053;007;0.85;
00030;0053;009;0.90;
00030;0053;011;0.94;
00030;0154;003;0.69;
00030;0154;005;0.78;
00030;0154;007;0.87;
00030;0154;009;0.91;
00030;0154;011;0.95;
00050;0037;003;0.70;
00050;0037;005;0.79;
00050;0037;007;0.85;
00050;0037;009;0.90;
00050;0037;011;0.94;
00050;0041;003;0.71;
00050;0041;005;0.79;
00050;0041;007;0.86;
00050;0041;009;0.91;
00050;0041;011;0.95;
00050;0053;003;0.69;
00050;0053;005;0.79;
00050;0053;007;0.86;
00050;0053;009;0.91;
00050;0053;011;0.95;
00050;0154;003;0.72;
00050;0154;005;0.81;
00050;0154;007;0.87;
00050;0154;009;0.92;
00050;0154;011;0.96;
00100;0037;003;0.72;
00100;0037;005;0.79;
00100;0037;007;0.85;
00100;0037;009;0.90;
00100;0037;011;0.95;
00100;0041;003;0.71;
00100;0041;005;0.80;
00100;0041;007;0.86;
00100;0041;009;0.91;
00100;0041;011;0.95;
00100;0053;003;0.72;
00100;0053;005;0.80;
00100;0053;007;0.86;
00100;0053;009;0.91;
00100;0053;011;0.95;
00100;0154;003;0.73;
00100;0154;005;0.82;
00100;0154;007;0.88;
00100;0154;009;0.92;
00100;0154;011;0.96;
00200;0037;003;0.70;
00200;0037;005;0.80;
00200;0037;007;0.86;
00200;0037;009;0.91;
00200;0037;011;0.95;
00200;0041;003;0.71;
00200;0041;005;0.80;
00200;0041;007;0.86;
00200;0041;009;0.91;
00200;0041;011;0.95;
00200;0053;003;0.71;
00200;0053;005;0.81;
00200;0053;007;0.87;
00200;0053;009;0.91;
00200;0053;011;0.95;
00200;0154;003;0.73;
00200;0154;005;0.82;
00200;0154;007;0.88;
00200;0154;009;0.93;
00200;0154;011;0.96;
00300;0037;003;0.70;
00300;0037;005;0.80;
00300;0037;007;0.86;
00300;0037;009;0.91;
00300;0037;011;0.95;
00300;0041;003;0.71;
00300;0041;005;0.80;
00300;0041;007;0.86;
00300;0041;009;0.91;
00300;0041;011;0.95;
00300;0053;003;0.71;
00300;0053;005;0.81;
00300;0053;007;0.87;
00300;0053;009;0.91;
00300;0053;011;0.95;
00300;0154;003;0.74;
00300;0154;005;0.83;
00300;0154;007;0.88;
00300;0154;009;0.93;
00300;0154;011;0.96;
00500;0037;003;0.70;
00500;0037;005;0.80;
00500;0037;007;0.86;
00500;0037;009;0.91;
00500;0037;011;0.95;
00500;0041;003;0.70;
00500;0041;005;0.80;
00500;0041;007;0.86;
00500;0041;009;0.91;
00500;0041;011;0.95;
00500;0053;003;0.71;
00500;0053;005;0.81;
00500;0053;007;0.87;
00500;0053;009;0.91;
00500;0053;011;0.95;
00500;0154;003;0.74;
00500;0154;005;0.83;
00500;0154;007;0.88;
00500;0154;009;0.93;
00500;0154;011;0.96;
00700;0037;003;0.69;
00700;0037;005;0.80;
00700;0037;007;0.86;
00700;0037;009;0.91;
00700;0037;011;0.95;
00700;0041;003;0.70;
00700;0041;005;0.80;
00700;0041;007;0.86;
00700;0041;009;0.91;
00700;0041;011;0.95;
00700;0053;003;0.71;
00700;0053;005;0.81;
00700;0053;007;0.87;
00700;0053;009;0.91;
00700;0053;011;0.95;
00700;0154;003;0.74;
00700;0154;005;0.83;
00700;0154;007;0.88;
00700;0154;009;0.93;
00700;0154;011;0.96;
01000;0037;003;0.69;
01000;0037;005;0.79;
01000;0037;007;0.86;
01000;0037;009;0.91;
01000;0037;011;0.95;
01000;0041;003;0.70;
01000;0041;005;0.80;
01000;0041;007;0.86;
01000;0041;009;0.91;
01000;0041;011;0.95;
01000;0053;003;0.71;
01000;0053;005;0.81;
01000;0053;007;0.87;
01000;0053;009;0.91;
01000;0053;011;0.95;
01000;0154;003;0.75;
01000;0154;005;0.83;
01000;0154;007;0.88;
01000;0154;009;0.93;
01000;0154;011;0.97;
