num_trees;pca;max_depth;macro avg
00050;no_pca;003;0.77;
00050;pca;003;0.50;
00050;no_pca;005;0.79;
00050;pca;005;0.61;
00050;no_pca;007;0.82;
00050;pca;007;0.75;
00050;no_pca;009;0.88;
00050;pca;009;0.80;
00050;no_pca;011;0.92;
00050;pca;011;0.85;
00050;no_pca;013;0.95;
00050;pca;013;0.90;
00100;no_pca;003;0.78;
00100;pca;003;0.50;
00100;no_pca;005;0.79;
00100;pca;005;0.66;
00100;no_pca;007;0.83;
00100;pca;007;0.77;
00100;no_pca;009;0.89;
00100;pca;009;0.81;
00100;no_pca;011;0.92;
00100;pca;011;0.84;
00100;no_pca;013;0.95;
00100;pca;013;0.90;
00200;no_pca;003;0.77;
00200;pca;003;0.50;
00200;no_pca;005;0.79;
00200;pca;005;0.66;
00200;no_pca;007;0.83;
00200;pca;007;0.76;
00200;no_pca;009;0.88;
00200;pca;009;0.80;
00200;no_pca;011;0.91;
00200;pca;011;0.85;
00200;no_pca;013;0.94;
00200;pca;013;0.89;
00300;no_pca;003;0.77;
00300;pca;003;0.50;
00300;no_pca;005;0.79;
00300;pca;005;0.67;
00300;no_pca;007;0.83;
00300;pca;007;0.77;
00300;no_pca;009;0.88;
00300;pca;009;0.81;
00300;no_pca;011;0.92;
00300;pca;011;0.85;
00300;no_pca;013;0.94;
00300;pca;013;0.90;
00500;no_pca;003;0.77;
00500;pca;003;0.50;
00500;no_pca;005;0.79;
00500;pca;005;0.66;
00500;no_pca;007;0.82;
00500;pca;007;0.77;
00500;no_pca;009;0.88;
00500;pca;009;0.80;
00500;no_pca;011;0.91;
00500;pca;011;0.84;
00500;no_pca;013;0.94;
00500;pca;013;0.90;
00700;no_pca;003;0.77;
00700;pca;003;0.50;
00700;no_pca;005;0.79;
00700;pca;005;0.66;
00700;no_pca;007;0.83;
00700;pca;007;0.77;
00700;no_pca;009;0.88;
00700;pca;009;0.80;
00700;no_pca;011;0.92;
00700;pca;011;0.85;
00700;no_pca;013;0.94;
00700;pca;013;0.90;
01000;no_pca;003;0.77;
01000;pca;003;0.50;
01000;no_pca;005;0.79;
01000;pca;005;0.66;
01000;no_pca;007;0.83;
01000;pca;007;0.77;
01000;no_pca;009;0.88;
01000;pca;009;0.80;
01000;no_pca;011;0.92;
01000;pca;011;0.85;
01000;no_pca;013;0.94;
01000;pca;013;0.90;
