num trees;pca;max depth;f1 macro avg
00010;no_pca;003;0.83;
00010;pca;003;0.63;
00010;no_pca;005;0.98;
00010;pca;005;0.87;
00010;no_pca;007;1.00;
00010;pca;007;1.00;
00010;no_pca;009;1.00;
00010;pca;009;1.00;
00010;no_pca;011;1.00;
00010;pca;011;1.00;
00010;no_pca;013;1.00;
00010;pca;013;1.00;
00015;no_pca;003;0.84;
00015;pca;003;0.67;
00015;no_pca;005;0.99;
00015;pca;005;0.93;
00015;no_pca;007;1.00;
00015;pca;007;1.00;
00015;no_pca;009;1.00;
00015;pca;009;1.00;
00015;no_pca;011;1.00;
00015;pca;011;1.00;
00015;no_pca;013;1.00;
00015;pca;013;1.00;
00020;no_pca;003;0.86;
00020;pca;003;0.68;
00020;no_pca;005;0.99;
00020;pca;005;0.96;
00020;no_pca;007;1.00;
00020;pca;007;1.00;
00020;no_pca;009;1.00;
00020;pca;009;1.00;
00020;no_pca;011;1.00;
00020;pca;011;1.00;
00020;no_pca;013;1.00;
00020;pca;013;1.00;
00025;no_pca;003;0.88;
00025;pca;003;0.69;
00025;no_pca;005;1.00;
00025;pca;005;0.98;
00025;no_pca;007;1.00;
00025;pca;007;1.00;
00025;no_pca;009;1.00;
00025;pca;009;1.00;
00025;no_pca;011;1.00;
00025;pca;011;1.00;
00025;no_pca;013;1.00;
00025;pca;013;1.00;
00030;no_pca;003;0.90;
00030;pca;003;0.73;
00030;no_pca;005;1.00;
00030;pca;005;0.99;
00030;no_pca;007;1.00;
00030;pca;007;1.00;
00030;no_pca;009;1.00;
00030;pca;009;1.00;
00030;no_pca;011;1.00;
00030;pca;011;1.00;
00030;no_pca;013;1.00;
00030;pca;013;1.00;
00050;no_pca;003;0.94;
00050;pca;003;0.78;
00050;no_pca;005;1.00;
00050;pca;005;1.00;
00050;no_pca;007;1.00;
00050;pca;007;1.00;
00050;no_pca;009;1.00;
00050;pca;009;1.00;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
00050;no_pca;013;1.00;
00050;pca;013;1.00;
