num trees;pca;max depth;f1 macro avg
00010;0029;003;0.72;
00010;0029;005;0.82;
00010;0029;007;0.89;
00010;0029;009;0.95;
00010;0029;011;0.99;
00010;0029;013;1.00;
00010;0037;003;0.72;
00010;0037;005;0.83;
00010;0037;007;0.89;
00010;0037;009;0.96;
00010;0037;011;0.99;
00010;0037;013;1.00;
00010;0041;003;0.72;
00010;0041;005;0.82;
00010;0041;007;0.89;
00010;0041;009;0.96;
00010;0041;011;0.99;
00010;0041;013;1.00;
00010;0053;003;0.73;
00010;0053;005;0.83;
00010;0053;007;0.90;
00010;0053;009;0.96;
00010;0053;011;0.99;
00010;0053;013;1.00;
00015;0029;003;0.74;
00015;0029;005;0.85;
00015;0029;007;0.91;
00015;0029;009;0.97;
00015;0029;011;1.00;
00015;0029;013;1.00;
00015;0037;003;0.75;
00015;0037;005;0.85;
00015;0037;007;0.92;
00015;0037;009;0.97;
00015;0037;011;1.00;
00015;0037;013;1.00;
00015;0041;003;0.75;
00015;0041;005;0.85;
00015;0041;007;0.92;
00015;0041;009;0.97;
00015;0041;011;1.00;
00015;0041;013;1.00;
00015;0053;003;0.75;
00015;0053;005;0.85;
00015;0053;007;0.92;
00015;0053;009;0.98;
00015;0053;011;1.00;
00015;0053;013;1.00;
00020;0029;003;0.77;
00020;0029;005;0.86;
00020;0029;007;0.93;
00020;0029;009;0.98;
00020;0029;011;1.00;
00020;0029;013;1.00;
00020;0037;003;0.77;
00020;0037;005;0.86;
00020;0037;007;0.93;
00020;0037;009;0.98;
00020;0037;011;1.00;
00020;0037;013;1.00;
00020;0041;003;0.76;
00020;0041;005;0.86;
00020;0041;007;0.93;
00020;0041;009;0.99;
00020;0041;011;1.00;
00020;0041;013;1.00;
00020;0053;003;0.77;
00020;0053;005;0.86;
00020;0053;007;0.93;
00020;0053;009;0.99;
00020;0053;011;1.00;
00020;0053;013;1.00;
00025;0029;003;0.78;
00025;0029;005;0.88;
00025;0029;007;0.94;
00025;0029;009;0.99;
00025;0029;011;1.00;
00025;0029;013;1.00;
00025;0037;003;0.79;
00025;0037;005;0.88;
00025;0037;007;0.94;
00025;0037;009;0.99;
00025;0037;011;1.00;
00025;0037;013;1.00;
00025;0041;003;0.78;
00025;0041;005;0.88;
00025;0041;007;0.95;
00025;0041;009;0.99;
00025;0041;011;1.00;
00025;0041;013;1.00;
00025;0053;003;0.79;
00025;0053;005;0.88;
00025;0053;007;0.95;
00025;0053;009;0.99;
00025;0053;011;1.00;
00025;0053;013;1.00;
00030;0029;003;0.80;
00030;0029;005;0.89;
00030;0029;007;0.95;
00030;0029;009;0.99;
00030;0029;011;1.00;
00030;0029;013;1.00;
00030;0037;003;0.80;
00030;0037;005;0.89;
00030;0037;007;0.96;
00030;0037;009;0.99;
00030;0037;011;1.00;
00030;0037;013;1.00;
00030;0041;003;0.80;
00030;0041;005;0.89;
00030;0041;007;0.96;
00030;0041;009;0.99;
00030;0041;011;1.00;
00030;0041;013;1.00;
00030;0053;003;0.80;
00030;0053;005;0.89;
00030;0053;007;0.96;
00030;0053;009;1.00;
00030;0053;011;1.00;
00030;0053;013;1.00;
