num_trees;pca;max_depth;macro avg
00020;no_pca;005;0.82;
00020;pca;005;0.71;
00020;no_pca;007;0.91;
00020;pca;007;0.84;
00020;no_pca;009;0.98;
00020;pca;009;0.96;
00020;no_pca;011;1.00;
00020;pca;011;1.00;
00030;no_pca;005;0.85;
00030;pca;005;0.74;
00030;no_pca;007;0.94;
00030;pca;007;0.87;
00030;no_pca;009;0.99;
00030;pca;009;0.98;
00030;no_pca;011;1.00;
00030;pca;011;1.00;
00050;no_pca;005;0.89;
00050;pca;005;0.77;
00050;no_pca;007;0.97;
00050;pca;007;0.92;
00050;no_pca;009;1.00;
00050;pca;009;0.99;
00050;no_pca;011;1.00;
00050;pca;011;1.00;
