num trees;pca;max_depth;f1 macro avg
00020;no_pca;005;0.54;
00020;pca;005;0.41;
00020;no_pca;007;0.71;
00020;pca;007;0.56;
00020;no_pca;009;0.86;
00020;pca;009;0.78;
00020;no_pca;011;0.95;
00020;pca;011;0.93;
00030;no_pca;005;0.58;
00030;pca;005;0.44;
00030;no_pca;007;0.78;
00030;pca;007;0.61;
00030;no_pca;009;0.92;
00030;pca;009;0.83;
00030;no_pca;011;0.98;
00030;pca;011;0.96;
00050;no_pca;005;0.67;
00050;pca;005;0.48;
00050;no_pca;007;0.85;
00050;pca;007;0.69;
00050;no_pca;009;0.97;
00050;pca;009;0.89;
00050;no_pca;011;1.00;
00050;pca;011;0.98;
