codebook size;pca;band width;macro avg;running time
0000;0037;0.100;1.00;97.518
0000;0037;0.200;1.00;117.261
0000;0037;0.500;1.00;101.960
0000;0037;1.000;1.00;91.821
0000;0037;2.000;0.92;92.270
0000;0041;0.100;1.00;99.401
0000;0041;0.200;1.00;124.413
0000;0041;0.500;1.00;102.541
0000;0041;1.000;1.00;106.035
0000;0041;2.000;0.93;111.521
0000;0053;0.100;1.00;109.911
0000;0053;0.200;1.00;142.065
0000;0053;0.500;1.00;128.235
0000;0053;1.000;1.00;113.534
0000;0053;2.000;0.93;136.496
0000;0067;0.100;1.00;121.360
0000;0067;0.200;1.00;154.829
0000;0067;0.500;1.00;127.938
0000;0067;1.000;1.00;136.491
0000;0067;2.000;0.94;136.232
0000;0154;0.100;1.00;197.561
0000;0154;0.200;1.00;245.955
0000;0154;0.500;1.00;249.288
0000;0154;1.000;1.00;258.385
0000;0154;2.000;0.95;238.842
0100;0037;0.100;0.83;3.597
0100;0037;0.200;0.97;2.830
0100;0037;0.500;0.97;2.435
0100;0037;1.000;0.97;2.761
0100;0037;2.000;0.94;2.587
0100;0041;0.100;0.80;3.660
0100;0041;0.200;0.97;2.878
0100;0041;0.500;0.97;2.503
0100;0041;1.000;0.97;2.510
0100;0041;2.000;0.95;2.423
0100;0053;0.100;0.71;3.753
0100;0053;0.200;0.97;2.564
0100;0053;0.500;0.97;2.681
0100;0053;1.000;0.97;2.479
0100;0053;2.000;0.95;2.382
0100;0067;0.100;0.63;3.722
0100;0067;0.200;0.97;2.753
0100;0067;0.500;0.97;2.735
0100;0067;1.000;0.97;2.517
0100;0067;2.000;0.95;2.530
0100;0154;0.100;0.41;38.964
0100;0154;0.200;0.97;38.447
0100;0154;0.500;0.97;37.820
0100;0154;1.000;0.97;38.986
0100;0154;2.000;0.96;38.189
0200;0037;0.100;0.89;2.748
0200;0037;0.200;0.98;2.621
0200;0037;0.500;0.98;2.560
0200;0037;1.000;0.98;2.457
0200;0037;2.000;0.95;2.415
0200;0041;0.100;0.87;2.627
0200;0041;0.200;0.98;2.746
0200;0041;0.500;0.98;2.619
0200;0041;1.000;0.98;2.489
0200;0041;2.000;0.95;2.566
0200;0053;0.100;0.79;36.848
0200;0053;0.200;0.98;36.804
0200;0053;0.500;0.98;36.699
0200;0053;1.000;0.98;35.793
0200;0053;2.000;0.95;35.223
0200;0067;0.100;0.72;37.295
0200;0067;0.200;0.98;36.791
0200;0067;0.500;0.98;35.922
0200;0067;1.000;0.98;37.516
0200;0067;2.000;0.96;36.574
0200;0154;0.100;0.50;41.398
0200;0154;0.200;0.98;41.757
0200;0154;0.500;0.98;41.792
0200;0154;1.000;0.98;41.726
0200;0154;2.000;0.96;40.727
0300;0037;0.100;0.93;39.472
0300;0037;0.200;0.98;38.426
0300;0037;0.500;0.98;37.929
0300;0037;1.000;0.98;38.737
0300;0037;2.000;0.95;37.589
0300;0041;0.100;0.91;40.165
0300;0041;0.200;0.98;38.979
0300;0041;0.500;0.98;36.526
0300;0041;1.000;0.98;37.715
0300;0041;2.000;0.95;37.363
0300;0053;0.100;0.85;39.424
0300;0053;0.200;0.99;38.242
0300;0053;0.500;0.99;34.889
0300;0053;1.000;0.99;36.283
0300;0053;2.000;0.95;36.899
0300;0067;0.100;0.78;40.335
0300;0067;0.200;0.99;38.460
0300;0067;0.500;0.99;38.464
0300;0067;1.000;0.99;37.406
0300;0067;2.000;0.96;37.931
0300;0154;0.100;0.57;45.544
0300;0154;0.200;0.99;45.562
0300;0154;0.500;0.99;45.936
0300;0154;1.000;0.99;46.090
0300;0154;2.000;0.96;45.409
