codebook size;pca;K;macro avg;running time
0000;0037;003;0.99;26.429
0000;0037;005;0.99;27.740
0000;0037;007;0.98;26.631
0000;0037;009;0.98;29.159
0000;0037;011;0.98;29.876
0000;0037;013;0.98;30.276
0000;0041;003;0.99;25.431
0000;0041;005;0.99;27.446
0000;0041;007;0.98;27.546
0000;0041;009;0.98;28.521
0000;0041;011;0.98;30.371
0000;0041;013;0.98;29.544
0000;0053;003;0.99;30.440
0000;0053;005;0.99;31.837
0000;0053;007;0.98;32.726
0000;0053;009;0.98;33.249
0000;0053;011;0.98;34.071
0000;0053;013;0.98;35.669
0000;0067;003;0.99;38.546
0000;0067;005;0.98;41.960
0000;0067;007;0.98;40.644
0000;0067;009;0.98;42.557
0000;0067;011;0.98;44.456
0000;0067;013;0.98;41.267
0000;0154;003;0.99;61.722
0000;0154;005;0.98;62.382
0000;0154;007;0.98;65.269
0000;0154;009;0.98;65.784
0000;0154;011;0.98;67.483
0000;0154;013;0.97;68.142
0100;0037;003;0.95;4.380
0100;0037;005;0.94;4.030
0100;0037;007;0.94;4.297
0100;0037;009;0.94;4.885
0100;0037;011;0.93;5.013
0100;0037;013;0.93;5.509
0100;0041;003;0.95;3.898
0100;0041;005;0.94;4.177
0100;0041;007;0.94;4.992
0100;0041;009;0.93;4.755
0100;0041;011;0.93;4.667
0100;0041;013;0.93;5.138
0100;0053;003;0.95;4.142
0100;0053;005;0.94;4.890
0100;0053;007;0.94;5.216
0100;0053;009;0.94;5.407
0100;0053;011;0.93;5.358
0100;0053;013;0.93;5.871
0100;0067;003;0.95;5.260
0100;0067;005;0.94;5.607
0100;0067;007;0.94;6.091
0100;0067;009;0.94;6.603
0100;0067;011;0.94;6.486
0100;0067;013;0.93;6.948
0100;0154;003;0.95;6.855
0100;0154;005;0.94;7.298
0100;0154;007;0.94;8.005
0100;0154;009;0.94;7.711
0100;0154;011;0.93;8.435
0100;0154;013;0.93;8.213
0200;0037;003;0.96;5.106
0200;0037;005;0.96;5.695
0200;0037;007;0.95;5.803
0200;0037;009;0.95;6.237
0200;0037;011;0.95;6.751
0200;0037;013;0.94;6.572
0200;0041;003;0.96;5.386
0200;0041;005;0.95;6.137
0200;0041;007;0.95;5.692
0200;0041;009;0.95;6.609
0200;0041;011;0.95;6.766
0200;0041;013;0.94;6.999
0200;0053;003;0.96;6.199
0200;0053;005;0.95;6.385
0200;0053;007;0.95;6.703
0200;0053;009;0.95;7.458
0200;0053;011;0.95;7.276
0200;0053;013;0.95;7.691
0200;0067;003;0.96;7.947
0200;0067;005;0.96;8.174
0200;0067;007;0.95;8.554
0200;0067;009;0.95;9.270
0200;0067;011;0.95;9.335
0200;0067;013;0.95;9.211
0200;0154;003;0.96;9.485
0200;0154;005;0.95;9.822
0200;0154;007;0.95;9.966
0200;0154;009;0.95;10.795
0200;0154;011;0.95;11.141
0200;0154;013;0.94;11.161
0300;0037;003;0.96;5.844
0300;0037;005;0.96;6.255
0300;0037;007;0.96;6.622
0300;0037;009;0.96;7.679
0300;0037;011;0.95;7.718
0300;0037;013;0.95;7.440
0300;0041;003;0.96;5.698
0300;0041;005;0.96;6.816
0300;0041;007;0.96;7.052
0300;0041;009;0.95;7.304
0300;0041;011;0.95;7.178
0300;0041;013;0.95;8.421
0300;0053;003;0.96;6.858
0300;0053;005;0.96;7.353
0300;0053;007;0.96;7.729
0300;0053;009;0.96;8.695
0300;0053;011;0.95;8.246
0300;0053;013;0.95;8.433
0300;0067;003;0.96;8.685
0300;0067;005;0.96;9.850
0300;0067;007;0.96;9.685
0300;0067;009;0.96;10.528
0300;0067;011;0.95;10.249
0300;0067;013;0.95;10.215
0300;0154;003;0.96;9.999
0300;0154;005;0.96;11.139
0300;0154;007;0.96;12.048
0300;0154;009;0.95;12.444
0300;0154;011;0.95;12.598
0300;0154;013;0.95;13.153
