num classes;codebook size;pca;band width;f1 macro avg;running time
02;0000;0050;0.100;1.00;13.770
07;0000;0050;0.100;0.30;22.480
02;0000;0050;0.200;1.00;12.079
07;0000;0050;0.200;0.30;20.844
02;0000;0050;0.500;0.96;10.803
07;0000;0050;0.500;0.30;20.658
02;0000;0050;1.000;0.52;10.633
07;0000;0050;1.000;0.19;20.629
02;0000;0050;2.000;0.45;10.730
07;0000;0050;2.000;0.14;19.357
02;0000;no_pca;0.100;1.00;29.881
07;0000;no_pca;0.100;0.30;28.882
02;0000;no_pca;0.200;1.00;38.212
07;0000;no_pca;0.200;0.30;41.721
02;0000;no_pca;0.500;1.00;34.056
07;0000;no_pca;0.500;0.30;36.013
02;0000;no_pca;1.000;0.58;36.859
07;0000;no_pca;1.000;0.26;31.008
02;0000;no_pca;2.000;0.46;35.838
07;0000;no_pca;2.000;0.14;31.412
02;0100;0050;0.100;0.71;3.682
07;0100;0050;0.100;0.25;11.811
02;0100;0050;0.200;0.70;3.705
07;0100;0050;0.200;0.24;11.714
02;0100;0050;0.500;0.70;3.550
07;0100;0050;0.500;0.24;11.557
02;0100;0050;1.000;0.58;3.544
07;0100;0050;1.000;0.20;11.452
02;0100;0050;2.000;0.40;3.527
07;0100;0050;2.000;0.13;11.393
02;0100;no_pca;0.100;0.89;2.693
07;0100;no_pca;0.100;0.26;6.351
02;0100;no_pca;0.200;0.89;2.349
07;0100;no_pca;0.200;0.26;6.584
02;0100;no_pca;0.500;0.89;2.128
07;0100;no_pca;0.500;0.26;5.827
02;0100;no_pca;1.000;0.78;2.241
07;0100;no_pca;1.000;0.25;6.184
02;0100;no_pca;2.000;0.49;2.030
07;0100;no_pca;2.000;0.15;6.092
02;0200;0050;0.100;0.77;3.820
07;0200;0050;0.100;0.26;14.051
02;0200;0050;0.200;0.77;3.889
07;0200;0050;0.200;0.26;12.675
02;0200;0050;0.500;0.73;3.697
07;0200;0050;0.500;0.25;12.371
02;0200;0050;1.000;0.54;3.746
07;0200;0050;1.000;0.19;12.241
02;0200;0050;2.000;0.37;3.675
07;0200;0050;2.000;0.11;12.220
02;0200;no_pca;0.100;0.94;2.674
07;0200;no_pca;0.100;0.28;6.878
02;0200;no_pca;0.200;0.94;2.701
07;0200;no_pca;0.200;0.28;7.689
02;0200;no_pca;0.500;0.91;2.214
07;0200;no_pca;0.500;0.28;7.127
02;0200;no_pca;1.000;0.74;2.215
07;0200;no_pca;1.000;0.25;6.586
02;0200;no_pca;2.000;0.41;2.122
07;0200;no_pca;2.000;0.14;6.973
02;0300;0050;0.100;0.84;3.874
07;0300;0050;0.100;0.27;13.305
02;0300;0050;0.200;0.83;3.869
07;0300;0050;0.200;0.27;13.199
02;0300;0050;0.500;0.75;3.775
07;0300;0050;0.500;0.26;12.737
02;0300;0050;1.000;0.52;3.945
07;0300;0050;1.000;0.19;12.826
02;0300;0050;2.000;0.36;3.778
07;0300;0050;2.000;0.11;12.728
02;0300;no_pca;0.100;0.96;2.194
07;0300;no_pca;0.100;0.28;8.751
02;0300;no_pca;0.200;0.95;2.272
07;0300;no_pca;0.200;0.28;7.905
02;0300;no_pca;0.500;0.93;2.044
07;0300;no_pca;0.500;0.28;6.864
02;0300;no_pca;1.000;0.68;2.103
07;0300;no_pca;1.000;0.25;7.408
02;0300;no_pca;2.000;0.39;2.192
07;0300;no_pca;2.000;0.13;7.302
