num classes;codebook size;pca;band width;macro avg;running time
02;0000;0050;0.100;1.00;30.061
10;0000;0050;0.100;1.00;49.982
02;0000;0050;0.200;1.00;29.563
10;0000;0050;0.200;1.00;48.232
02;0000;0050;0.500;1.00;25.200
10;0000;0050;0.500;0.99;43.869
02;0000;0050;1.000;0.67;25.034
10;0000;0050;1.000;0.56;42.842
02;0000;0050;2.000;0.50;25.494
10;0000;0050;2.000;0.29;43.323
02;0000;no_pca;0.100;1.00;212.016
10;0000;no_pca;0.100;1.00;217.752
02;0000;no_pca;0.200;1.00;215.729
10;0000;no_pca;0.200;1.00;232.206
02;0000;no_pca;0.500;1.00;191.836
10;0000;no_pca;0.500;1.00;216.590
02;0000;no_pca;1.000;0.84;200.055
10;0000;no_pca;1.000;0.72;245.935
02;0000;no_pca;2.000;0.50;202.294
10;0000;no_pca;2.000;0.30;259.870
02;0100;0050;0.100;0.93;4.599
10;0100;0050;0.100;0.70;21.155
02;0100;0050;0.200;0.92;4.604
10;0100;0050;0.200;0.70;21.002
02;0100;0050;0.500;0.90;4.486
10;0100;0050;0.500;0.70;20.912
02;0100;0050;1.000;0.80;4.473
10;0100;0050;1.000;0.64;20.627
02;0100;0050;2.000;0.55;4.469
10;0100;0050;2.000;0.34;20.611
02;0100;no_pca;0.100;0.98;6.027
10;0100;no_pca;0.100;0.75;25.051
02;0100;no_pca;0.200;0.96;5.639
10;0100;no_pca;0.200;0.75;22.873
02;0100;no_pca;0.500;0.95;5.606
10;0100;no_pca;0.500;0.75;24.141
02;0100;no_pca;1.000;0.92;5.862
10;0100;no_pca;1.000;0.70;23.441
02;0100;no_pca;2.000;0.60;5.895
10;0100;no_pca;2.000;0.38;24.383
02;0200;0050;0.100;0.96;4.814
10;0200;0050;0.100;0.77;22.610
02;0200;0050;0.200;0.94;4.830
10;0200;0050;0.200;0.77;23.027
02;0200;0050;0.500;0.94;4.683
10;0200;0050;0.500;0.77;22.260
02;0200;0050;1.000;0.82;4.684
10;0200;0050;1.000;0.65;22.367
02;0200;0050;2.000;0.55;4.861
10;0200;0050;2.000;0.25;22.208
02;0200;no_pca;0.100;0.99;6.200
10;0200;no_pca;0.100;0.83;30.617
02;0200;no_pca;0.200;0.99;6.191
10;0200;no_pca;0.200;0.83;29.548
02;0200;no_pca;0.500;0.98;5.844
10;0200;no_pca;0.500;0.83;31.163
02;0200;no_pca;1.000;0.92;6.652
10;0200;no_pca;1.000;0.75;29.896
02;0200;no_pca;2.000;0.59;6.117
10;0200;no_pca;2.000;0.31;30.077
02;0300;0050;0.100;0.98;5.376
10;0300;0050;0.100;0.82;23.392
02;0300;0050;0.200;0.98;4.970
10;0300;0050;0.200;0.82;23.849
02;0300;0050;0.500;0.97;4.821
10;0300;0050;0.500;0.81;23.297
02;0300;0050;1.000;0.84;4.810
10;0300;0050;1.000;0.64;22.883
02;0300;0050;2.000;0.54;4.946
10;0300;0050;2.000;0.22;23.123
02;0300;no_pca;0.100;1.00;6.904
10;0300;no_pca;0.100;0.88;34.446
02;0300;no_pca;0.200;1.00;6.846
10;0300;no_pca;0.200;0.88;34.677
02;0300;no_pca;0.500;0.99;6.403
10;0300;no_pca;0.500;0.87;35.036
02;0300;no_pca;1.000;0.92;6.297
10;0300;no_pca;1.000;0.77;34.906
02;0300;no_pca;2.000;0.57;6.133
10;0300;no_pca;2.000;0.27;37.877
