num classes;codebook size;pca;K;macro avg;running time
02;0000;0050;003;0.89;237.482
10;0000;0050;003;0.84;106.876
02;0000;0050;005;0.85;255.433
10;0000;0050;005;0.80;114.470
02;0000;0050;007;0.84;260.222
10;0000;0050;007;0.78;111.690
02;0000;0050;009;0.82;256.687
10;0000;0050;009;0.76;116.915
02;0000;0050;011;0.82;262.111
10;0000;0050;011;0.75;119.112
02;0000;0050;013;0.81;262.555
10;0000;0050;013;0.74;117.377
02;0000;no_pca;003;0.90;76.153
10;0000;no_pca;003;0.86;77.419
02;0000;no_pca;005;0.86;76.129
10;0000;no_pca;005;0.82;76.198
02;0000;no_pca;007;0.84;78.252
10;0000;no_pca;007;0.80;79.297
02;0000;no_pca;009;0.83;78.356
10;0000;no_pca;009;0.78;78.377
02;0000;no_pca;011;0.82;79.080
10;0000;no_pca;011;0.77;78.409
02;0000;no_pca;013;0.81;79.070
10;0000;no_pca;013;0.76;79.180
02;0100;0050;003;0.54;12.151
10;0100;0050;003;0.39;12.756
02;0100;0050;005;0.57;12.270
10;0100;0050;005;0.37;13.746
02;0100;0050;007;0.58;12.365
10;0100;0050;007;0.32;13.408
02;0100;0050;009;0.51;13.803
10;0100;0050;009;0.32;13.671
02;0100;0050;011;0.53;14.208
10;0100;0050;011;0.30;14.371
02;0100;0050;013;0.59;13.550
10;0100;0050;013;0.29;15.827
02;0100;no_pca;003;0.63;2.669
10;0100;no_pca;003;0.43;3.252
02;0100;no_pca;005;0.62;2.559
10;0100;no_pca;005;0.41;3.205
02;0100;no_pca;007;0.61;2.854
10;0100;no_pca;007;0.36;3.347
02;0100;no_pca;009;0.62;3.422
10;0100;no_pca;009;0.37;3.537
02;0100;no_pca;011;0.59;3.441
10;0100;no_pca;011;0.36;3.658
02;0100;no_pca;013;0.58;3.108
10;0100;no_pca;013;0.35;3.752
02;0200;0050;003;0.58;16.442
10;0200;0050;003;0.49;18.590
02;0200;0050;005;0.53;17.156
10;0200;0050;005;0.44;18.882
02;0200;0050;007;0.53;16.843
10;0200;0050;007;0.41;21.765
02;0200;0050;009;0.50;18.146
10;0200;0050;009;0.38;23.088
02;0200;0050;011;0.47;18.136
10;0200;0050;011;0.35;23.128
02;0200;0050;013;0.47;18.527
10;0200;0050;013;0.34;24.421
02;0200;no_pca;003;0.81;3.484
10;0200;no_pca;003;0.57;4.810
02;0200;no_pca;005;0.71;3.562
10;0200;no_pca;005;0.52;5.103
02;0200;no_pca;007;0.68;3.734
10;0200;no_pca;007;0.46;5.278
02;0200;no_pca;009;0.66;4.179
10;0200;no_pca;009;0.45;5.334
02;0200;no_pca;011;0.60;3.546
10;0200;no_pca;011;0.42;5.437
02;0200;no_pca;013;0.58;3.861
10;0200;no_pca;013;0.40;5.585
02;0300;0050;003;0.62;16.609
10;0300;0050;003;0.54;29.224
02;0300;0050;005;0.58;17.004
10;0300;0050;005;0.50;28.138
02;0300;0050;007;0.55;16.825
10;0300;0050;007;0.46;30.229
02;0300;0050;009;0.54;18.383
10;0300;0050;009;0.43;32.712
02;0300;0050;011;0.53;18.328
10;0300;0050;011;0.42;33.500
02;0300;0050;013;0.52;18.205
10;0300;0050;013;0.40;33.387
02;0300;no_pca;003;0.83;3.443
10;0300;no_pca;003;0.63;7.018
02;0300;no_pca;005;0.76;3.581
10;0300;no_pca;005;0.56;7.583
02;0300;no_pca;007;0.74;3.660
10;0300;no_pca;007;0.52;7.545
02;0300;no_pca;009;0.69;4.134
10;0300;no_pca;009;0.50;8.230
02;0300;no_pca;011;0.68;4.190
10;0300;no_pca;011;0.49;7.754
02;0300;no_pca;013;0.64;4.211
10;0300;no_pca;013;0.46;8.177
