num trees;pca;max depth;f1 macro avg
00010;0154;003;0.39;
00010;0154;005;0.55;
00010;0154;007;0.70;
00010;0154;009;0.80;
00010;0154;011;0.85;
00020;0154;003;0.60;
00020;0154;005;0.72;
00020;0154;007;0.79;
00020;0154;009;0.86;
00020;0154;011;0.91;
00030;0154;003;0.60;
00030;0154;005;0.75;
00030;0154;007;0.82;
00030;0154;009;0.89;
00030;0154;011;0.94;
00050;0154;003;0.68;
00050;0154;005;0.79;
00050;0154;007;0.86;
00050;0154;009;0.90;
00050;0154;011;0.95;
00100;0154;003;0.75;
00100;0154;005;0.82;
00100;0154;007;0.87;
00100;0154;009;0.92;
00100;0154;011;0.96;
00200;0154;003;0.74;
00200;0154;005;0.84;
00200;0154;007;0.88;
00200;0154;009;0.92;
00200;0154;011;0.96;
00300;0154;003;0.76;
00300;0154;005;0.83;
00300;0154;007;0.89;
00300;0154;009;0.93;
00300;0154;011;0.96;
00500;0154;003;0.75;
00500;0154;005;0.84;
00500;0154;007;0.89;
00500;0154;009;0.93;
00500;0154;011;0.96;
00700;0154;003;0.76;
00700;0154;005;0.84;
00700;0154;007;0.89;
00700;0154;009;0.93;
00700;0154;011;0.96;
01000;0154;003;0.76;
01000;0154;005;0.85;
01000;0154;007;0.89;
01000;0154;009;0.93;
01000;0154;011;0.96;
