num trees;pca;max depth;f1 macro avg
00010;0154;003;0.72;
00010;0154;005;0.83;
00010;0154;007;0.90;
00010;0154;009;0.97;
00010;0154;011;0.99;
00015;0154;003;0.75;
00015;0154;005;0.85;
00015;0154;007;0.92;
00015;0154;009;0.98;
00015;0154;011;1.00;
00020;0154;003;0.77;
00020;0154;005;0.86;
00020;0154;007;0.93;
00020;0154;009;0.99;
00020;0154;011;1.00;
00025;0154;003;0.78;
00025;0154;005;0.88;
00025;0154;007;0.95;
00025;0154;009;0.99;
00025;0154;011;1.00;
00030;0154;003;0.80;
00030;0154;005;0.89;
00030;0154;007;0.96;
00030;0154;009;1.00;
00030;0154;011;1.00;
00050;0154;003;0.84;
00050;0154;005;0.92;
00050;0154;007;0.98;
00050;0154;009;1.00;
00050;0154;011;1.00;
00100;0154;003;0.88;
00100;0154;005;0.96;
00100;0154;007;1.00;
00100;0154;009;1.00;
00100;0154;011;1.00;
00200;0154;003;0.92;
00200;0154;005;0.98;
00200;0154;007;1.00;
