num trees;pca;max depth;f1 macro avg
00010;0037;003;0.76;
00010;0037;005;0.84;
00010;0037;007;0.91;
00010;0037;009;0.97;
00010;0037;011;1.00;
00020;0037;003;0.79;
00020;0037;005;0.88;
00020;0037;007;0.95;
00020;0037;009;0.99;
00020;0037;011;1.00;
00030;0037;003;0.82;
00030;0037;005;0.90;
00030;0037;007;0.97;
00030;0037;009;1.00;
00030;0037;011;1.00;
00050;0037;003;0.86;
00050;0037;005;0.93;
00050;0037;007;0.98;
00050;0037;009;1.00;
00050;0037;011;1.00;
00100;0037;003;0.90;
00100;0037;005;0.96;
00100;0037;007;1.00;
00100;0037;009;1.00;
00100;0037;011;1.00;
00200;0037;003;0.92;
00200;0037;005;0.98;
00200;0037;007;1.00;
