5206;40620;1091;4336;2870;0;4142;1952;6598;2101;8828;2580;527;1317;2493;1428;6165;576;4433;1782;2476;5270;3319;2336;7170;3331;2784;2128;8013;4170;4785;3162;1664;1847;4575;779;98;3893;1716;3336;9333;2762;2661;4369;7500;4241;2169;3736;7632;2955
4;32;0;5;1;0;3;0;7;0;1;2;0;2;1;0;2;0;3;0;0;4;5;0;2;3;0;0;2;21;4;1;6;5;7;0;0;8;0;1;9;2;18;0;0;0;5;1;1;0
1122;7180;0;1077;184;14;791;218;673;193;996;535;434;287;112;594;1112;0;806;203;583;942;639;932;1667;434;182;780;1287;269;558;622;88;200;1130;832;1597;771;56;491;920;690;184;577;780;1308;139;1180;1001;325
707;9920;0;3;2967;0;31;0;111;846;22;3;3145;1642;2203;2216;11;0;5;1591;7;10;10;2187;631;0;563;64;34;47;39;2115;32;3292;3;7101;951;2;0;89;199;37;5;1265;314;252;2734;4662;11;1
2055;8676;0;8;1515;1;64;0;80;1421;46;1;1227;1100;1078;1812;7;0;28;1423;14;31;8;2263;666;6;2491;111;73;25;15;2330;70;1508;7;1612;5008;10;1;93;264;19;8;4433;442;412;1181;1869;36;1
1264;7184;0;7;2579;0;25;0;17;1471;15;0;1918;1194;809;675;3;0;7;1645;10;17;0;1764;42;3;2717;37;18;4;12;2153;1;1668;8;2181;2602;2;0;57;38;28;2;3545;84;62;1016;813;19;0
379;2400;0;352;11;0;367;77;292;29;402;192;11;72;3;208;419;0;300;11;387;348;134;151;661;180;2;517;490;85;169;88;14;16;475;3;7;311;27;267;375;221;42;0;511;750;6;294;412;132
236;2400;0;402;4;0;445;73;303;16;443;310;15;27;4;199;275;0;335;10;378;348;111;119;707;201;0;434;596;82;208;35;24;2;427;4;4;413;16;338;390;309;39;0;374;685;1;304;349;205
272;2380;0;420;3;0;319;134;367;4;354;364;3;44;4;133;357;0;296;8;247;350;188;161;660;253;0;362;486;109;189;37;36;11;377;3;13;408;27;320;461;351;65;0;399;569;7;309;383;252
1342;4840;0;307;135;0;394;56;422;35;639;158;171;349;686;563;570;4;264;84;201;375;164;1332;1545;115;1;562;660;148;232;219;74;371;489;521;217;199;16;326;740;308;63;8;1514;1064;556;1831;465;75
