patient;data_format;num_trees;max_depth;f1 macro avg
chb08;21x14;003;:;0.38
chb08;21x14;005;:;0.51
chb08;21x14;007;:;0.57
chb08;21x14;009;:;0.62
chb08;21x14;003;:;0.42
chb08;21x14;005;:;0.53
chb08;21x14;007;:;0.59
chb08;21x14;009;:;0.64
chb08;21x14;003;:;0.48
chb08;21x14;005;:;0.56
chb08;21x14;007;:;0.61
chb08;21x14;009;:;0.68
chb08;21x14;003;:;0.52
chb08;21x14;005;:;0.59
chb08;21x14;007;:;0.65
chb08;21x14;009;:;0.71
chb08;21x14;003;:;0.55
chb08;21x14;005;:;0.62
chb08;21x14;007;:;0.70
chb08;21x14;009;:;0.76
chb08;pca136;003;:;0.37
chb08;pca136;005;:;0.47
chb08;pca136;007;:;0.51
chb08;pca136;009;:;0.59
chb08;pca136;003;:;0.39
chb08;pca136;005;:;0.48
chb08;pca136;007;:;0.54
chb08;pca136;009;:;0.62
chb08;pca136;003;:;0.42
chb08;pca136;005;:;0.49
chb08;pca136;007;:;0.57
chb08;pca136;009;:;0.66
chb08;pca136;003;:;0.44
chb08;pca136;005;:;0.52
chb08;pca136;007;:;0.63
chb08;pca136;009;:;0.72
chb08;pca136;003;:;0.47
chb08;pca136;005;:;0.57
chb08;pca136;007;:;0.69
chb08;pca136;009;:;0.78
